idx,constellation,satIdx,channelIndex,snrIdx,snr_set_dB,snr_meas_dB,dopIdx,doppler_set_Hz,pred_label,top_score,is_correct,detected,numBoxes
91,starlink,1,7,10,10.000000,10.000000,1,-360000.000,starlink,0.987418,1,1,1
92,starlink,1,5,10,10.000000,10.000000,2,-280000.000,starlink,0.985471,1,1,1
93,starlink,1,7,10,10.000000,10.000000,3,-200000.000,starlink,0.987759,1,1,1
94,starlink,1,5,10,10.000000,10.000000,4,-120000.000,starlink,0.988772,1,1,1
95,starlink,1,5,10,10.000000,10.000000,5,-40000.000,starlink,0.988734,1,1,1
96,starlink,1,6,10,10.000000,10.000000,6,40000.000,starlink,0.986472,1,1,1
97,starlink,1,8,10,10.000000,10.000000,7,120000.000,starlink,0.984920,1,1,1
98,starlink,1,4,10,10.000000,10.000000,8,200000.000,starlink,0.987003,1,1,1
99,starlink,1,2,10,10.000000,10.000000,9,280000.000,starlink,0.986091,1,1,1
100,starlink,1,2,10,10.000000,10.000000,10,360000.000,starlink,0.985073,1,1,1
101,starlink,2,3,1,-10.000000,-10.000000,1,-360000.000,starlink,0.974713,1,1,1
102,starlink,2,3,1,-10.000000,-10.000000,2,-280000.000,starlink,0.977285,1,1,1
103,starlink,2,6,1,-10.000000,-10.000000,3,-200000.000,starlink,0.981139,1,1,1
104,starlink,2,8,1,-10.000000,-10.000000,4,-120000.000,starlink,0.979191,1,1,1
105,starlink,2,2,1,-10.000000,-10.000000,5,-40000.000,starlink,0.977879,1,1,1
106,starlink,2,4,1,-10.000000,-10.000000,6,40000.000,starlink,0.980545,1,1,1
107,starlink,2,6,1,-10.000000,-10.000000,7,120000.000,starlink,0.980601,1,1,1
108,starlink,2,2,1,-10.000000,-10.000000,8,200000.000,starlink,0.976493,1,1,1
109,starlink,2,8,1,-10.000000,-10.000000,9,280000.000,starlink,0.974956,1,1,1
110,starlink,2,8,1,-10.000000,-10.000000,10,360000.000,starlink,0.978736,1,1,1
111,starlink,2,6,2,-7.777778,-7.777778,1,-360000.000,starlink,0.985028,1,1,1
112,starlink,2,1,2,-7.777778,-7.777778,2,-280000.000,starlink,0.984880,1,1,1
113,starlink,2,2,2,-7.777778,-7.777778,3,-200000.000,starlink,0.982027,1,1,1
114,starlink,2,6,2,-7.777778,-7.777778,4,-120000.000,starlink,0.984889,1,1,1
115,starlink,2,2,2,-7.777778,-7.777778,5,-40000.000,starlink,0.979184,1,1,1
116,starlink,2,7,2,-7.777778,-7.777778,6,40000.000,starlink,0.985048,1,1,1
117,starlink,2,3,2,-7.777778,-7.777778,7,120000.000,starlink,0.982525,1,1,1
118,starlink,2,7,2,-7.777778,-7.777778,8,200000.000,starlink,0.982966,1,1,1
119,starlink,2,5,2,-7.777778,-7.777778,9,280000.000,starlink,0.984467,1,1,1
120,starlink,2,5,2,-7.777778,-7.777778,10,360000.000,starlink,0.985368,1,1,1
121,starlink,2,6,3,-5.555556,-5.555556,1,-360000.000,starlink,0.985681,1,1,1
122,starlink,2,1,3,-5.555556,-5.555556,2,-280000.000,starlink,0.984893,1,1,1
123,starlink,2,2,3,-5.555556,-5.555556,3,-200000.000,starlink,0.984054,1,1,1
124,starlink,2,2,3,-5.555556,-5.555556,4,-120000.000,starlink,0.985012,1,1,1
125,starlink,2,2,3,-5.555556,-5.555556,5,-40000.000,starlink,0.984447,1,1,1
126,starlink,2,6,3,-5.555556,-5.555556,6,40000.000,starlink,0.987584,1,1,1
127,starlink,2,7,3,-5.555556,-5.555556,7,120000.000,starlink,0.986349,1,1,1
128,starlink,2,8,3,-5.555556,-5.555556,8,200000.000,starlink,0.985363,1,1,1
129,starlink,2,8,3,-5.555556,-5.555556,9,280000.000,starlink,0.984736,1,1,1
130,starlink,2,7,3,-5.555556,-5.555556,10,360000.000,starlink,0.985238,1,1,1
131,starlink,2,7,4,-3.333333,-3.333333,1,-360000.000,starlink,0.987428,1,1,1
132,starlink,2,4,4,-3.333333,-3.333333,2,-280000.000,starlink,0.986207,1,1,1
133,starlink,2,2,4,-3.333333,-3.333333,3,-200000.000,starlink,0.985649,1,1,1
134,starlink,2,2,4,-3.333333,-3.333333,4,-120000.000,starlink,0.983311,1,1,1
135,starlink,2,8,4,-3.333333,-3.333333,5,-40000.000,starlink,0.983066,1,1,1
136,starlink,2,4,4,-3.333333,-3.333333,6,40000.000,starlink,0.983293,1,1,1
137,starlink,2,8,4,-3.333333,-3.333333,7,120000.000,starlink,0.983703,1,1,1
138,starlink,2,2,4,-3.333333,-3.333333,8,200000.000,starlink,0.985220,1,1,1
139,starlink,2,6,4,-3.333333,-3.333333,9,280000.000,starlink,0.987107,1,1,1
140,starlink,2,3,4,-3.333333,-3.333333,10,360000.000,starlink,0.982875,1,1,1
141,starlink,2,1,5,-1.111111,-1.111111,1,-360000.000,starlink,0.985617,1,1,1
142,starlink,2,4,5,-1.111111,-1.111111,2,-280000.000,starlink,0.985121,1,1,1
143,starlink,2,6,5,-1.111111,-1.111111,3,-200000.000,starlink,0.987389,1,1,1
144,starlink,2,5,5,-1.111111,-1.111111,4,-120000.000,starlink,0.986737,1,1,1
145,starlink,2,1,5,-1.111111,-1.111111,5,-40000.000,starlink,0.987655,1,1,1
146,starlink,2,4,5,-1.111111,-1.111111,6,40000.000,starlink,0.985122,1,1,1
147,starlink,2,2,5,-1.111111,-1.111111,7,120000.000,starlink,0.987064,1,1,1
148,starlink,2,5,5,-1.111111,-1.111111,8,200000.000,starlink,0.988131,1,1,1
149,starlink,2,3,5,-1.111111,-1.111111,9,280000.000,starlink,0.981218,1,1,1
150,starlink,2,1,5,-1.111111,-1.111111,10,360000.000,starlink,0.986719,1,1,1
151,starlink,2,6,6,1.111111,1.111111,1,-360000.000,starlink,0.987442,1,1,1
152,starlink,2,7,6,1.111111,1.111111,2,-280000.000,starlink,0.985970,1,1,2
153,starlink,2,5,6,1.111111,1.111111,3,-200000.000,starlink,0.985951,1,1,1
154,starlink,2,4,6,1.111111,1.111111,4,-120000.000,starlink,0.985876,1,1,1
155,starlink,2,7,6,1.111111,1.111111,5,-40000.000,starlink,0.986851,1,1,1
156,starlink,2,4,6,1.111111,1.111111,6,40000.000,starlink,0.985129,1,1,1
157,starlink,2,7,6,1.111111,1.111111,7,120000.000,starlink,0.988263,1,1,1
158,starlink,2,2,6,1.111111,1.111111,8,200000.000,starlink,0.987131,1,1,1
159,starlink,2,5,6,1.111111,1.111111,9,280000.000,starlink,0.986758,1,1,1
160,starlink,2,2,6,1.111111,1.111111,10,360000.000,starlink,0.986775,1,1,1
161,starlink,2,1,7,3.333333,3.333333,1,-360000.000,starlink,0.986901,1,1,1
162,starlink,2,6,7,3.333333,3.333333,2,-280000.000,starlink,0.986090,1,1,1
163,starlink,2,1,7,3.333333,3.333333,3,-200000.000,starlink,0.986966,1,1,1
164,starlink,2,8,7,3.333333,3.333333,4,-120000.000,starlink,0.986771,1,1,1
165,starlink,2,5,7,3.333333,3.333333,5,-40000.000,starlink,0.987114,1,1,1
166,starlink,2,5,7,3.333333,3.333333,6,40000.000,starlink,0.987760,1,1,1
167,starlink,2,6,7,3.333333,3.333333,7,120000.000,starlink,0.987862,1,1,1
168,starlink,2,1,7,3.333333,3.333333,8,200000.000,starlink,0.987816,1,1,1
169,starlink,2,5,7,3.333333,3.333333,9,280000.000,starlink,0.985554,1,1,1
170,starlink,2,2,7,3.333333,3.333333,10,360000.000,starlink,0.988078,1,1,1
171,starlink,2,8,8,5.555556,5.555556,1,-360000.000,starlink,0.988078,1,1,1
172,starlink,2,2,8,5.555556,5.555556,2,-280000.000,starlink,0.986077,1,1,1
173,starlink,2,3,8,5.555556,5.555556,3,-200000.000,starlink,0.986335,1,1,1
174,starlink,2,6,8,5.555556,5.555556,4,-120000.000,starlink,0.988565,1,1,1
175,starlink,2,1,8,5.555556,5.555556,5,-40000.000,starlink,0.987335,1,1,1
176,starlink,2,2,8,5.555556,5.555556,6,40000.000,starlink,0.986814,1,1,1
177,starlink,2,7,8,5.555556,5.555556,7,120000.000,starlink,0.987162,1,1,1
178,starlink,2,4,8,5.555556,5.555556,8,200000.000,starlink,0.987178,1,1,1
179,starlink,2,2,8,5.555556,5.555556,9,280000.000,starlink,0.986442,1,1,1
180,starlink,2,8,8,5.555556,5.555556,10,360000.000,starlink,0.985728,1,1,1
181,starlink,2,2,9,7.777778,7.777778,1,-360000.000,starlink,0.985888,1,1,1
182,starlink,2,5,9,7.777778,7.777778,2,-280000.000,starlink,0.985197,1,1,1
183,starlink,2,8,9,7.777778,7.777778,3,-200000.000,starlink,0.986096,1,1,1
184,starlink,2,3,9,7.777778,7.777778,4,-120000.000,starlink,0.986849,1,1,1
185,starlink,2,6,9,7.777778,7.777778,5,-40000.000,starlink,0.987471,1,1,1
186,starlink,2,7,9,7.777778,7.777778,6,40000.000,starlink,0.988215,1,1,1
187,starlink,2,2,9,7.777778,7.777778,7,120000.000,starlink,0.986106,1,1,1
188,starlink,2,4,9,7.777778,7.777778,8,200000.000,starlink,0.986487,1,1,1
189,starlink,2,6,9,7.777778,7.777778,9,280000.000,starlink,0.987703,1,1,1
190,starlink,2,6,9,7.777778,7.777778,10,360000.000,starlink,0.987377,1,1,1
191,starlink,2,7,10,10.000000,10.000000,1,-360000.000,starlink,0.987993,1,1,1
192,starlink,2,4,10,10.000000,10.000000,2,-280000.000,starlink,0.985631,1,1,1
193,starlink,2,6,10,10.000000,10.000000,3,-200000.000,starlink,0.986671,1,1,1
194,starlink,2,2,10,10.000000,10.000000,4,-120000.000,starlink,0.987736,1,1,1
195,starlink,2,6,10,10.000000,10.000000,5,-40000.000,starlink,0.987023,1,1,1
196,starlink,2,4,10,10.000000,10.000000,6,40000.000,starlink,0.987116,1,1,1
197,starlink,2,1,10,10.000000,10.000000,7,120000.000,starlink,0.986701,1,1,1
198,starlink,2,8,10,10.000000,10.000000,8,200000.000,starlink,0.987011,1,1,1
199,starlink,2,7,10,10.000000,10.000000,9,280000.000,starlink,0.987867,1,1,1
200,starlink,2,5,10,10.000000,10.000000,10,360000.000,starlink,0.985899,1,1,1
201,starlink,3,7,1,-10.000000,-10.000000,1,-360000.000,starlink,0.983078,1,1,1
202,starlink,3,3,1,-10.000000,-10.000000,2,-280000.000,starlink,0.978530,1,1,1
203,starlink,3,3,1,-10.000000,-10.000000,3,-200000.000,starlink,0.978154,1,1,1
204,starlink,3,2,1,-10.000000,-10.000000,4,-120000.000,starlink,0.980409,1,1,1
205,starlink,3,4,1,-10.000000,-10.000000,5,-40000.000,starlink,0.979787,1,1,1
206,starlink,3,1,1,-10.000000,-10.000000,6,40000.000,starlink,0.982417,1,1,1
207,starlink,3,2,1,-10.000000,-10.000000,7,120000.000,starlink,0.980798,1,1,1
208,starlink,3,3,1,-10.000000,-10.000000,8,200000.000,starlink,0.980056,1,1,1
209,starlink,3,8,1,-10.000000,-10.000000,9,280000.000,starlink,0.981978,1,1,1
210,starlink,3,6,1,-10.000000,-10.000000,10,360000.000,starlink,0.985011,1,1,2
211,starlink,3,8,2,-7.777778,-7.777778,1,-360000.000,starlink,0.981276,1,1,1
212,starlink,3,1,2,-7.777778,-7.777778,2,-280000.000,starlink,0.983892,1,1,1
213,starlink,3,7,2,-7.777778,-7.777778,3,-200000.000,starlink,0.984773,1,1,1
214,starlink,3,3,2,-7.777778,-7.777778,4,-120000.000,starlink,0.984416,1,1,1
215,starlink,3,2,2,-7.777778,-7.777778,5,-40000.000,starlink,0.980551,1,1,1
216,starlink,3,7,2,-7.777778,-7.777778,6,40000.000,starlink,0.984874,1,1,1
217,starlink,3,6,2,-7.777778,-7.777778,7,120000.000,starlink,0.985303,1,1,1
218,starlink,3,5,2,-7.777778,-7.777778,8,200000.000,starlink,0.979430,1,1,1
219,starlink,3,4,2,-7.777778,-7.777778,9,280000.000,starlink,0.982974,1,1,1
220,starlink,3,1,2,-7.777778,-7.777778,10,360000.000,starlink,0.982607,1,1,1
221,starlink,3,7,3,-5.555556,-5.555556,1,-360000.000,starlink,0.986206,1,1,1
222,starlink,3,7,3,-5.555556,-5.555556,2,-280000.000,starlink,0.986354,1,1,1
223,starlink,3,4,3,-5.555556,-5.555556,3,-200000.000,starlink,0.984859,1,1,1
224,starlink,3,1,3,-5.555556,-5.555556,4,-120000.000,starlink,0.985489,1,1,1
225,starlink,3,2,3,-5.555556,-5.555556,5,-40000.000,starlink,0.983095,1,1,1
226,starlink,3,4,3,-5.555556,-5.555556,6,40000.000,starlink,0.980983,1,1,1
227,starlink,3,8,3,-5.555556,-5.555556,7,120000.000,starlink,0.983477,1,1,1
228,starlink,3,8,3,-5.555556,-5.555556,8,200000.000,starlink,0.984276,1,1,1
229,starlink,3,7,3,-5.555556,-5.555556,9,280000.000,starlink,0.985250,1,1,1
230,starlink,3,3,3,-5.555556,-5.555556,10,360000.000,starlink,0.981531,1,1,1
231,starlink,3,7,4,-3.333333,-3.333333,1,-360000.000,starlink,0.985374,1,1,1
232,starlink,3,6,4,-3.333333,-3.333333,2,-280000.000,starlink,0.986478,1,1,1
233,starlink,3,3,4,-3.333333,-3.333333,3,-200000.000,starlink,0.983365,1,1,1
234,starlink,3,6,4,-3.333333,-3.333333,4,-120000.000,starlink,0.986485,1,1,1
235,starlink,3,5,4,-3.333333,-3.333333,5,-40000.000,starlink,0.987546,1,1,1
236,starlink,3,8,4,-3.333333,-3.333333,6,40000.000,starlink,0.984416,1,1,1
237,starlink,3,4,4,-3.333333,-3.333333,7,120000.000,starlink,0.984239,1,1,1
238,starlink,3,8,4,-3.333333,-3.333333,8,200000.000,starlink,0.987208,1,1,1
239,starlink,3,6,4,-3.333333,-3.333333,9,280000.000,starlink,0.985975,1,1,1
240,starlink,3,3,4,-3.333333,-3.333333,10,360000.000,starlink,0.984326,1,1,1
241,starlink,3,4,5,-1.111111,-1.111111,1,-360000.000,starlink,0.985152,1,1,1
242,starlink,3,7,5,-1.111111,-1.111111,2,-280000.000,starlink,0.988142,1,1,1
243,starlink,3,4,5,-1.111111,-1.111111,3,-200000.000,starlink,0.987847,1,1,1
244,starlink,3,8,5,-1.111111,-1.111111,4,-120000.000,starlink,0.986108,1,1,1
245,starlink,3,5,5,-1.111111,-1.111111,5,-40000.000,starlink,0.987403,1,1,1
246,starlink,3,7,5,-1.111111,-1.111111,6,40000.000,starlink,0.986599,1,1,1
247,starlink,3,2,5,-1.111111,-1.111111,7,120000.000,starlink,0.986175,1,1,1
248,starlink,3,8,5,-1.111111,-1.111111,8,200000.000,starlink,0.988514,1,1,1
249,starlink,3,2,5,-1.111111,-1.111111,9,280000.000,starlink,0.985809,1,1,1
250,starlink,3,2,5,-1.111111,-1.111111,10,360000.000,starlink,0.985873,1,1,1
251,starlink,3,4,6,1.111111,1.111111,1,-360000.000,starlink,0.987780,1,1,1
252,starlink,3,6,6,1.111111,1.111111,2,-280000.000,starlink,0.988500,1,1,1
253,starlink,3,3,6,1.111111,1.111111,3,-200000.000,starlink,0.981642,1,1,1
254,starlink,3,1,6,1.111111,1.111111,4,-120000.000,starlink,0.986384,1,1,1
255,starlink,3,5,6,1.111111,1.111111,5,-40000.000,starlink,0.989118,1,1,1
256,starlink,3,3,6,1.111111,1.111111,6,40000.000,starlink,0.986797,1,1,1
257,starlink,3,1,6,1.111111,1.111111,7,120000.000,starlink,0.988171,1,1,1
258,starlink,3,8,6,1.111111,1.111111,8,200000.000,starlink,0.984397,1,1,1
259,starlink,3,8,6,1.111111,1.111111,9,280000.000,starlink,0.984787,1,1,1
260,starlink,3,3,6,1.111111,1.111111,10,360000.000,starlink,0.985540,1,1,2
261,starlink,3,4,7,3.333333,3.333333,1,-360000.000,starlink,0.985732,1,1,1
262,starlink,3,8,7,3.333333,3.333333,2,-280000.000,starlink,0.988567,1,1,1
263,starlink,3,8,7,3.333333,3.333333,3,-200000.000,starlink,0.986415,1,1,1
264,starlink,3,3,7,3.333333,3.333333,4,-120000.000,starlink,0.985883,1,1,1
265,starlink,3,8,7,3.333333,3.333333,5,-40000.000,starlink,0.986635,1,1,1
266,starlink,3,8,7,3.333333,3.333333,6,40000.000,starlink,0.987161,1,1,1
267,starlink,3,6,7,3.333333,3.333333,7,120000.000,starlink,0.988419,1,1,1
268,starlink,3,6,7,3.333333,3.333333,8,200000.000,starlink,0.986776,1,1,1
269,starlink,3,3,7,3.333333,3.333333,9,280000.000,starlink,0.985631,1,1,1
270,starlink,3,4,7,3.333333,3.333333,10,360000.000,starlink,0.987099,1,1,1
271,starlink,3,6,8,5.555556,5.555556,1,-360000.000,starlink,0.987671,1,1,1
272,starlink,3,2,8,5.555556,5.555556,2,-280000.000,starlink,0.986389,1,1,1
273,starlink,3,2,8,5.555556,5.555556,3,-200000.000,starlink,0.987042,1,1,1
274,starlink,3,4,8,5.555556,5.555556,4,-120000.000,starlink,0.987647,1,1,1
275,starlink,3,1,8,5.555556,5.555556,5,-40000.000,starlink,0.987031,1,1,1
276,starlink,3,3,8,5.555556,5.555556,6,40000.000,starlink,0.984733,1,1,1
277,starlink,3,4,8,5.555556,5.555556,7,120000.000,starlink,0.984839,1,1,1
278,starlink,3,2,8,5.555556,5.555556,8,200000.000,starlink,0.987320,1,1,1
279,starlink,3,6,8,5.555556,5.555556,9,280000.000,starlink,0.987782,1,1,1
280,starlink,3,7,8,5.555556,5.555556,10,360000.000,starlink,0.987382,1,1,1
281,starlink,3,1,9,7.777778,7.777778,1,-360000.000,starlink,0.987243,1,1,1
282,starlink,3,7,9,7.777778,7.777778,2,-280000.000,starlink,0.986507,1,1,1
283,starlink,3,2,9,7.777778,7.777778,3,-200000.000,starlink,0.985194,1,1,1
284,starlink,3,6,9,7.777778,7.777778,4,-120000.000,starlink,0.987496,1,1,1
285,starlink,3,7,9,7.777778,7.777778,5,-40000.000,starlink,0.985717,1,1,1
286,starlink,3,2,9,7.777778,7.777778,6,40000.000,starlink,0.988677,1,1,1
287,starlink,3,7,9,7.777778,7.777778,7,120000.000,starlink,0.987979,1,1,1
288,starlink,3,7,9,7.777778,7.777778,8,200000.000,starlink,0.989248,1,1,1
289,starlink,3,3,9,7.777778,7.777778,9,280000.000,starlink,0.986037,1,1,1
290,starlink,3,2,9,7.777778,7.777778,10,360000.000,starlink,0.987107,1,1,1
291,starlink,3,1,10,10.000000,10.000000,1,-360000.000,starlink,0.988019,1,1,1
292,starlink,3,2,10,10.000000,10.000000,2,-280000.000,starlink,0.987442,1,1,1
293,starlink,3,7,10,10.000000,10.000000,3,-200000.000,starlink,0.986910,1,1,1
294,starlink,3,2,10,10.000000,10.000000,4,-120000.000,starlink,0.986948,1,1,1
295,starlink,3,3,10,10.000000,10.000000,5,-40000.000,starlink,0.986768,1,1,1
296,starlink,3,5,10,10.000000,10.000000,6,40000.000,starlink,0.985111,1,1,1
297,starlink,3,1,10,10.000000,10.000000,7,120000.000,starlink,0.987231,1,1,1
298,starlink,3,1,10,10.000000,10.000000,8,200000.000,starlink,0.988273,1,1,1
299,starlink,3,4,10,10.000000,10.000000,9,280000.000,starlink,0.987869,1,1,1
300,starlink,3,6,10,10.000000,10.000000,10,360000.000,starlink,0.987737,1,1,1
301,starlink,4,3,1,-10.000000,-10.000000,1,-360000.000,starlink,0.974229,1,1,1
302,starlink,4,5,1,-10.000000,-10.000000,2,-280000.000,starlink,0.983270,1,1,1
303,starlink,4,8,1,-10.000000,-10.000000,3,-200000.000,starlink,0.981481,1,1,1
304,starlink,4,2,1,-10.000000,-10.000000,4,-120000.000,starlink,0.980916,1,1,1
